field_id,sea_name,trt_name,block,plot,sampledate_ymd2,data_type,biomass_cat,value,herb,cctrt,crop
sexy1,24/25,p,B1,101,2025-11-03,fallbio_kgha,weeds,125.61000000000001,herbicide,none,p
sexy1,24/25,pcc,B1,103,2025-11-03,fallbio_kgha,weeds,100.78000000000003,herbicide,cc,p
sexy1,24/25,xa,B1,104,2025-11-03,fallbio_kgha,weeds,533.215,none,none,a
sexy1,24/25,a,B1,105,2025-11-03,fallbio_kgha,weeds,259.14000000000004,herbicide,none,a
sexy1,24/25,xacc,B1,107,2025-11-03,fallbio_kgha,weeds,255.455,none,cc,a
sexy1,24/25,acc,B1,110,2025-11-03,fallbio_kgha,weeds,309.905,herbicide,cc,a
sexy1,24/25,xp,B1,111,2025-11-03,fallbio_kgha,weeds,530.53,none,none,p
sexy1,24/25,xpcc,B1,112,2025-11-03,fallbio_kgha,weeds,436.355,none,cc,p
sexy1,24/25,a,B2,202,2025-11-03,fallbio_kgha,weeds,322.73,herbicide,none,a
sexy1,24/25,xacc,B2,204,2025-11-03,fallbio_kgha,weeds,331.88500000000005,none,cc,a
sexy1,24/25,pcc,B2,205,2025-11-03,fallbio_kgha,weeds,93.97500000000001,herbicide,cc,p
sexy1,24/25,xp,B2,207,2025-11-03,fallbio_kgha,weeds,339.185,none,none,p
sexy1,24/25,acc,B2,208,2025-11-03,fallbio_kgha,weeds,142.25000000000003,herbicide,cc,a
sexy1,24/25,p,B2,209,2025-11-03,fallbio_kgha,weeds,243.35500000000005,herbicide,none,p
sexy1,24/25,xpcc,B2,210,2025-11-03,fallbio_kgha,weeds,116.63000000000001,none,cc,p
sexy1,24/25,xa,B2,211,2025-11-03,fallbio_kgha,weeds,461.07500000000005,none,none,a
sexy1,24/25,acc,B3,302,2025-11-03,fallbio_kgha,weeds,170.72000000000003,herbicide,cc,a
sexy1,24/25,xp,B3,303,2025-11-03,fallbio_kgha,weeds,202.99500000000003,none,none,p
sexy1,24/25,xpcc,B3,304,2025-11-03,fallbio_kgha,weeds,118.48500000000003,none,cc,p
sexy1,24/25,pcc,B3,305,2025-11-03,fallbio_kgha,weeds,18.58000000000001,herbicide,cc,p
sexy1,24/25,xa,B3,306,2025-11-03,fallbio_kgha,weeds,452.13500000000005,none,none,a
sexy1,24/25,a,B3,307,2025-11-03,fallbio_kgha,weeds,304.015,herbicide,none,a
sexy1,24/25,xacc,B3,309,2025-11-03,fallbio_kgha,weeds,213.75,none,cc,a
sexy1,24/25,p,B3,311,2025-11-03,fallbio_kgha,weeds,75.62500000000001,herbicide,none,p
sexy1,24/25,xacc,B4,403,2025-11-03,fallbio_kgha,weeds,160.235,none,cc,a
sexy1,24/25,acc,B4,404,2025-11-03,fallbio_kgha,weeds,91.07000000000002,herbicide,cc,a
sexy1,24/25,p,B4,405,2025-11-03,fallbio_kgha,weeds,34.75500000000002,herbicide,none,p
sexy1,24/25,xpcc,B4,406,2025-11-03,fallbio_kgha,weeds,170.39500000000004,none,cc,p
sexy1,24/25,xa,B4,407,2025-11-03,fallbio_kgha,weeds,289.00000000000006,none,none,a
sexy1,24/25,pcc,B4,408,2025-11-03,fallbio_kgha,weeds,61.70000000000002,herbicide,cc,p
sexy1,24/25,xp,B4,409,2025-11-03,fallbio_kgha,weeds,326.65000000000003,none,none,p
sexy1,24/25,a,B4,412,2025-11-03,fallbio_kgha,weeds,148.65500000000006,herbicide,none,a
